object,ra,dec
bh aur,5:12:04.27,+33:57:46.94
corot 2b,	19:27:06.496,+01:23:01.38
corot 11b,18:42:44.95,+5:56:15.72
dy her,16:31:17.95,+11:59:52.5
ee lyn,8:14:50.31,+48:49:16.17
el dra,15:21:59.86,+61:12:40.51
en cep,0:24:41.27,+83:26:18.51
er ori,5:11:14.51,-8:33:24.72
ey uma,9:02:20.76,+49:49:09.28
fk peg,21:26:32.92,+10:48:54.92
hat p 20,07:27:39.950,+24:20:11.49
hat p 23,20:24:29.73,+16:45:43.81
hat p 32 b,2:04:10.28,+46:41:16.20
hat p 54,06:39:35.520,+25:28:57.13
HD 37387,05:39:14.8269197194,+23:19:24.115546429
hr7308,19:15:59.49,+27:55:34.71
ht vul,20:03:54.70,+22:36:54.02
groth strip,14:19:17.6,+52:49:25.25
ic 4665,17:46:27.0,+05:38:55
kepler-41b,19:38:03.1746358686,+45:58:53.876517436
kelt-1b,0:01:26.92,+39:23:01.68
kelt-4b,10:28:15.0726466590,+25:34:24.698988458
kelt-16b,20:57:04.43,+31:39:39.5
kic 8462852,20:06:15.4527143158,+44:27:24.791354432
koi -0732,19:13:18.696,+47:22:53.73
ku dra,13:01:53.67,+65:54:07.30
kz uma,9:31:42.13,+66:51:19.28
m1,05:34:31.94,+22:00:52.2
m3,13:42:11.62,+28:22:38.2
m5,15:18:33.22,+02:04:51.7
m13,16:41:41.634,+36:27:40.75
m15,21:29:58.33,+12:10:01.2
m27,19:59:36.3632092274,+22:43:16.312364964
m29,20:23:46.3,+38:29:13
m31,00:42:44.330,+41:16:07.50
m32,00:42:41.825,+40:51:54.61
m33,01:33:50.904,+30:39:35.79
m34,2:42:07,+42:44:46
m37,05:52:18.0,+32:33:12
m44,8:40:22.00,+19:40:19
m51,13:29:56.0,+47:13:50
m52,23:24:48.00,+61:35:35.89
m53,13:12:55.25,+18:10:05.4
m56,19:16:35.57,+30:11:00.5
m57,18:53:35.08,+33:01:45.05
m63,13:15:49.329,+42:01:45.44
m65,11:18:55.96,+13:05:31.95
m67,8:51:21.00,+11:48:43.0
m71,19:53:46.49,+18:46:45.1
m74,01:36:41.75,+15:47:01.11
m76,01:42:19.6557728208,+51:34:31.534970052
m81,9:55:33.17,+69:03:55.04
m82,09:55:52.430,+69:40:46.93
m92,17:17:07.39,+43:08:09.42
m95,10:43:57.73,+11:42:12.98
m101,14:03:12.58,+54:20:55.50
m102,15:06:29.561,+55:45:47.91
m110,00:40:22.075,+41:41:07.08
m106,12:18:57.62,+47:18:13.38
MU vul,20:02:34.26,+22:58:06.50
my aql,19:43:51.48,+12:07:35.22
ngc 869,02:19:00.0,+57:07:42
ngc 884,02:22:23.0,+57:07:30
ngc 891,2:22:32.91,+42:20:53.95
ngc 3115,10:05:13.978,-07:43:06.89
ngc 4565,12:36:20.804,+25:59:14.61
ngc 5907,15:15:53.69,+56:19:43.87
ngc 6934,20:34:11.37,+07:24:16.1
ngc 6946,20:34:52.33,+60:09:13.26
ngc 7380,22:47:16.1,+58:07:30
ngc 7635,23:20:45.6,+61:12:45
ngc 7790,23:58:27.1,+61:12:36
nsv 10123,18:03:05.10,+36:00:39.0
nsv 20420,15:50:29.80,+49:14:54.0 
nsv 4863,10:29:43.10,+78:38:39.10
palomar1,03:33:20.04,+79:34:51.8
palomar2,04:46:05.91,+31:22:53.4
pz cas,23:44:03.281,+61:47:22.18
orion nebula,5:35:17.30,-5:23:28.01
pleiades,3:47:28.00,+24:06:19
qq dra,15:16:46.67,+61:44:56.41
QSO 2237+0305,22:40:30.234,+03:21:30.63
rx for,3:11:13.21,-26:28:58.84
sa 92,0:55:03.80,+0:47:13.20
sa104,12:42:53.51,-0:32:00.90
sa110,18:42:06,+0:10:17
sa111,19:37:49.70,+0:21:35.00
sa112,20:42:07,+0:31:26.00
sa113,21:40:58.90,+0:27:43.00
sa95,3:53:21.00,-0:01:10.00
sa98,6:52:04.10,-0:23:58.01
SDSS-J052053.80+175228.2,05:20:53.8031592058,+17:52:28.305566681
sw lac,22:53:41.66,+37:56:18.65
sz lyn,8:09:35.75,+44:28:17.59
tres-3b,17:52:07.02,+37:32:46.22
tres-4b,17:53:13.0483509717,+37:12:44.131472948
TIC-106224627,20:04:19.11,+34:23:55.8
TIC-122695048,05:09:11.59,+38:13:42.86
TIC-125489084,23:40:00.69,+40:40:57.67
TIC-142276270,12:48:44.3732731993,+64:51:19.149471180
TIC-147890655,09:28:20.87,+66:57:01.0
TIC-147892178,09:30:55.02,+71:44:24.92
TIC-150006846,04:39:21.9,+27:17:16.91
TIC-154220877,12:19:36.39,+48:40:59.84
TIC-159332859,15:31:14.29,+79:16:01.9
TIC-167031605,6:15:40.3229,11:49:59.0466
TIC-169187982,19:49:11.02,+38:51:26.02
TIC-1712954983,19:15:05.76790048,+30:47:07.40685727
TIC-193634953,17:47:41.54,+47:42:18.17
TIC-202468443,15:16:01.48,+62:43:05.73
TIC-230088370,16:29:25.66,+71:30:21.1
TIC-233120979,18:14:07.06,+62:51:29.7
TIC-235902467,19:19:00.17,+82:52:30.9
TIC-237205154,19:34:19.98,+76:39:39.9
TIC-241076290,01:56:07.89,+52:35:07.74
TIC-243333538,19:19:21.48,+56:55:49.33
TIC-26054627,03:30:51.02,+20:52:46.66
TIC-272519426,15:46:04.416,+04:41:31.2
TIC-272758199,15:49:16.11,+71:26:34.9
TIC-289100911,20:59:34.87,+52:23:46.1
TIC-294315741,06:12:23.02,+12:50:18.97
TIC-302381397,06:40:19.50,+76:33:11.3
TIC-337025682,02:08:59.81,+08:03:25.92
TIC-34551972,02:56:55.99,+28:46:17.31
TIC-353146308,21:39:56.69,+01:17:36.13
TIC-357244603,07:10:31.53,+74:29:08.68
TIC-364186197,20:54:02.61,+72:34:49.9
TIC-376524552,12:35:41.42,+27:12:51.9
TIC-402828941,20:21:50.05,+19:26:09.05
TIC-419411415,20:55:04.96,+24:21:39.52
TIC-422385684,21:14:24.12,+66:24:17.4
TIC-422656370,23:18:41.22,+68:17:57.2
TIC-428892437,05:39:27.65,+81:32:36.42
TIC-435861696,00:47:33.01,+21:56:18.84
TIC-467615239,05:12:41.45,+22:30:21.33
TIC-467265105,20:35:24,+61:08:27.35
TIC-470127886,22:04:28.09,+81:33:57.4
TIC-52420398,05:35:52.41, +12:55:33.41
TIC-67247610,20:47:26.94,+37:07:02.62
TIC-742648307,06:58:55.97,+49:58:07.44
TIC-76882795,05:50:52.5,+28:49:11.45
TIC-79316101,06:00:20.33,+26:21:11.64
TIC-81247877,13:41:57.29,+17:18:00.24
TIC-83210867,19:49:49.7958,34:49:50.4933
TIC-88529975,07:06:43.22,+65:51:26.1
TIC-9392421,11:11:06.68,+39:31:36.4
UCAC4 566-071844,18:48:26.61,+23:09:04.1
ugc9379,14:33:58.66,+40:14:40.27
uz vir,13:08:44.32,+13:24:08.4
v0440 lac,22:55:25.37,+52:17:09.21
v0533 her,18:14:20.48,+41:51:22.06
v0552 cas,1:05:18.69,+63:21:24.60
v0556 cas,1:23:51.77,+62:31:20.10
v0566 cas,23:48:50.17,+62:12:52.27
v381 per,4:10:30.72,+32:56:17.89
v704 and,23:44:57.5,+43:31:22.3
vx her,16:30:40.80,+18:22:00.57
wasp 10 b,23:15:58.30,+31:27:46.29
wasp 92 b,16:26:46.0987956154,+51:02:27.892101500
xx cyg,20:03:15.65,+58:57:16.54
wasp 52,23:13:58.76,+08:45:40.6
